Name                           Type            File                                     Lines
-----------------------------------------------------------------------------------------------
MarkdownRendererProps          interface       app/markdown-renderer.tsx                4-4
AnimatedThinkingLine           function        app/search-display.tsx                   9-9
FoundSourcesGroup              function        app/search-display.tsx                   80-80
SourceProcessingLine           function        app/search-display.tsx                   159-159
SearchDisplay                  function        app/search-display.tsx                   221-221
renderEvent                    function        app/search-display.tsx                   692-692
search                         function        app/search.tsx                           6-6
RootLayout                     function        app/layout.tsx                           15-15
SourcesList                    function        app/chat.tsx                             30-30
Chat                           function        app/chat.tsx                             184-184
Home                           function        app/page.tsx                             3-3
CitationTooltipProps           interface       app/citation-tooltip.tsx                 7-7
CitationTooltip                function        app/citation-tooltip.tsx                 11-11
useIsMobile                    function        hooks/use-mobile.ts                      4-4
FirecrawlClient                class           lib/firecrawl.ts                         3-3
FirecrawlClient                class           lib/firecrawl.ts                         3-3
constructor                    method          lib/firecrawl.ts                         6-6
scrapeUrl                      method          lib/firecrawl.ts                         14-14
mapUrl                         method          lib/firecrawl.ts                         82-82
search                         method          lib/firecrawl.ts                         102-102
ProcessedSource                interface       lib/context-processor.ts                 4-4
ContextProcessor               class           lib/context-processor.ts                 11-11
ContextProcessor               class           lib/context-processor.ts                 11-11
processSources                 method          lib/context-processor.ts                 21-21
extractKeywords                method          lib/context-processor.ts                 46-46
processSource                  method          lib/context-processor.ts                 66-66
calculateRelevanceScore        method          lib/context-processor.ts                 120-120
extractRelevantSections        method          lib/context-processor.ts                 142-142
distributeCharacterBudget      method          lib/context-processor.ts                 206-206
calculateSummaryLength         method          lib/context-processor.ts                 276-276
summarizeSource                method          lib/context-processor.ts                 287-287
calculateRelevanceFromSummary  method          lib/context-processor.ts                 365-365
ErrorType                      enum            lib/error-handler.ts                     4-4
ErrorType                      enum            lib/error-handler.ts                     4-4
handleError                    function        lib/error-handler.ts                     37-37
handleNextError                function        lib/error-handler.ts                     84-84
handleEdgeError                function        lib/error-handler.ts                     95-95
getFaviconUrl                  function        lib/favicon-utils.ts                     3-3
getDefaultFavicon              function        lib/favicon-utils.ts                     18-18
markFaviconFailed              function        lib/favicon-utils.ts                     22-22
cn                             function        lib/utils.ts                             3-3
SearchPhase                    type            lib/langgraph-search-engine.ts           8-8
SearchPhase                    type            lib/langgraph-search-engine.ts           8-8
SearchEvent                    type            lib/langgraph-search-engine.ts           17-17
SearchEvent                    type            lib/langgraph-search-engine.ts           17-17
ErrorType                      type            lib/langgraph-search-engine.ts           29-29
ErrorType                      type            lib/langgraph-search-engine.ts           29-29
Source                         interface       lib/langgraph-search-engine.ts           31-31
Source                         interface       lib/langgraph-search-engine.ts           31-31
SearchResult                   interface       lib/langgraph-search-engine.ts           39-39
SearchResult                   interface       lib/langgraph-search-engine.ts           39-39
SearchStep                     interface       lib/langgraph-search-engine.ts           46-46
SearchStep                     interface       lib/langgraph-search-engine.ts           46-46
SearchState                    type            lib/langgraph-search-engine.ts           152-152
GraphConfig                    interface       lib/langgraph-search-engine.ts           155-155
LangGraphSearchEngine          class           lib/langgraph-search-engine.ts           162-162
LangGraphSearchEngine          class           lib/langgraph-search-engine.ts           162-162
constructor                    method          lib/langgraph-search-engine.ts           170-170
getInitialSteps                method          lib/langgraph-search-engine.ts           201-201
buildGraph                     method          lib/langgraph-search-engine.ts           212-212
search                         method          lib/langgraph-search-engine.ts           887-887
getCurrentDateContext          method          lib/langgraph-search-engine.ts           938-938
analyzeQuery                   method          lib/langgraph-search-engine.ts           953-953
checkAnswersInSources          method          lib/langgraph-search-engine.ts           982-982
extractSubQueries              method          lib/langgraph-search-engine.ts           1086-1086
generateAlternativeSearchQueries method          lib/langgraph-search-engine.ts           1143-1143
scoreContent                   method          lib/langgraph-search-engine.ts           1215-1215
